shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SHP_30194_0,5.3319649,103.1378691,1
SHP_30194_0,5.33354,103.1412277,2
SHP_30194_0,5.3309706,103.1426197,3
SHP_30194_0,5.3294174,103.1415759,4
SHP_30194_0,5.3282373,103.1436998,5
SHP_30194_0,5.3303588,103.1475752,6
SHP_30194_0,5.3331583,103.1480499,7
SHP_30194_0,5.3347551,103.1464061,8
SHP_30194_0,5.336367,103.142744,9
SHP_30194_0,5.3369857,103.1397412,10
SHP_30194_0,5.3367781,103.1364344,11
SHP_30194_0,5.333747,103.1352899,12
SHP_30194_0,5.3322931,103.1345354,13
SHP_30194_0,5.3309036,103.1326628,14
SHP_30194_0,5.3299948,103.136074,15
SHP_30194_0,5.3291939,103.1386021,16
SHP_30194_0,5.3288232,103.1398256,17
SHP_30194_0,5.3256695,103.1495737,18
SHP_30194_0,5.3245149,103.1498626,19
SHP_30194_0,5.3246217,103.149826,20
SHP_30194_0,5.3257939,103.1526816,21
SHP_30194_0,5.3243005,103.1540232,22
SHP_30194_0,5.3229145,103.1546306,23
SHP_30194_0,5.319688,103.1546897,24
SHP_30194_0,5.318922,103.153372,25
SHP_30194_0,5.3147041,103.1441175,26
SHP_30194_0,5.3145971,103.1365916,27
SHP_30194_0,5.3158228,103.1353045,28
SHP_30194_0,5.3159938,103.1344531,29
SHP_30194_0,5.3140692,103.1323981,30
SHP_30194_0,5.3129037,103.1298565,31
SHP_30194_0,5.3113473,103.12874,32
SHP_30194_0,5.309587,103.129684,33
SHP_30194_0,5.3121054,103.1311467,34
SHP_30194_0,5.317975,103.133569,35
SHP_30194_0,5.328148,103.1351875,36
SHP_30194_0,5.3321424,103.1378055,37
SHP_30260_0,5.3319649,103.1378691,1
SHP_30260_0,5.329586,103.138019,2
SHP_30260_0,5.317975,103.133569,3
SHP_30260_0,5.3140692,103.1323981,4
SHP_30260_0,5.3295278,103.1230934,5
SHP_30260_0,5.3395008,103.1160265,6
SHP_30260_0,5.346936,103.117206,7
SHP_30260_0,5.3534679,103.1169144,8
SHP_30260_0,5.3554666,103.1183607,9
SHP_30260_0,5.3584663,103.1190498,10
SHP_30260_0,5.3615326,103.1175974,11
SHP_30260_0,5.3654868,103.1144091,12
SHP_30260_0,5.3681716,103.1127663,13
SHP_30260_0,5.3713272,103.1105309,14
SHP_30260_0,5.3741523,103.1086617,15
SHP_30260_0,5.376847,103.106686,16
SHP_30260_0,5.372377,103.1015977,17
SHP_30260_0,5.3699967,103.0987887,18
SHP_30260_0,5.3682912,103.0968086,19
SHP_30260_0,5.3599226,103.098331,20
SHP_30260_0,5.358457,103.093736,21
SHP_30260_0,5.3585975,103.093592,22
SHP_30260_0,5.3609059,103.0921858,23
SHP_30260_0,5.3620959,103.0915932,24
SHP_30260_0,5.3650767,103.0896957,25
SHP_30260_0,5.3679921,103.08775,26
SHP_30260_0,5.3715408,103.0854283,27
SHP_30260_0,5.3757963,103.0841237,28
SHP_30260_0,5.381647,103.08154,29
SHP_30260_0,5.383787,103.0810702,30
SHP_30260_0,5.3875148,103.0803835,31
SHP_30260_0,5.3916165,103.0810487,32
SHP_30260_0,5.3936459,103.0817568,33
SHP_30260_0,5.3958188,103.0832662,34
SHP_30260_0,5.3979649,103.0845056,35
SHP_30260_0,5.3994675,103.0845678,36
SHP_30260_0,5.4050866,103.086274,37
SHP_30260_0,5.4083077,103.0845153,38
SHP_30260_0,5.409111,103.081594,39
SHP_30260_0,5.409608,103.07935,40
SHP_30260_0,5.4099865,103.077354,41
SHP_30260_0,5.4127349,103.0685383,42
SHP_30260_0,5.414397,103.06653,43
SHP_30260_0,5.415949,103.065411,44
SHP_30260_0,5.420218,103.062045,45
SHP_30260_0,5.4244691,103.0598691,46
SHP_30260_0,5.425862,103.058722,47
SHP_30260_0,5.4295183,103.0561542,48
SHP_30260_0,5.432419,103.05467,49
SHP_30260_0,5.4361025,103.0526757,50
SHP_30260_0,5.439148,103.051077,51
SHP_30260_0,5.439974,103.050634,52
SHP_30260_0,5.4443735,103.0482584,53
SHP_30260_0,5.446629,103.0466827,54
SHP_30260_0,5.4482691,103.0456496,55
SHP_30260_0,5.4493384,103.0450309,56
SHP_30260_0,5.4513033,103.0404911,57
SHP_30260_0,5.4520998,103.0394762,58
SHP_30260_0,5.4533445,103.0385959,59
SHP_30260_0,5.4548669,103.0370704,60
SHP_30260_0,5.4563132,103.0357313,61
SHP_30260_0,5.4588849,103.0332058,62
SHP_30260_0,5.4631029,103.0298273,63
SHP_30260_0,5.4641887,103.0283532,64
SHP_30260_0,5.464503,103.0265647,65
SHP_30260_0,5.4655318,103.0208435,66
SHP_30260_0,5.4681569,103.0172131,67
SHP_30260_0,5.4716761,103.0153165,68
SHP_30260_0,5.4798372,103.0106288,69
SHP_30260_0,5.4824751,103.0090302,70
SHP_30260_0,5.492994,102.9999982,71
SHP_30260_0,5.5026823,102.9907335,72
SHP_30260_0,5.5069754,102.9872252,73
SHP_30260_0,5.5112898,102.983631,74
SHP_30260_0,5.5140775,102.9813139,75
SHP_30260_0,5.5146319,102.9794989,76
SHP_30260_0,5.5125462,102.9728929,77
SHP_30260_0,5.5136499,102.9692001,78
SHP_30260_0,5.5237258,102.9608581,79
SHP_30260_0,5.528575,102.9577177,80
SHP_30260_0,5.530806,102.9562484,81
SHP_30260_0,5.533009,102.948605,82
